street1,street2,city,latt,long,formatted_address
Thurlow St,Dunsmuir St,Vancouver,49.2798502,-123.1105849,"Dunsmuir Viaduct & Dunsmuir St, Vancouver, BC V6B 1X7, Canada"
Nan,Lonsdale Quay,North Vancouver,49.3096326,-123.0835537,"Lonsdale Quay SeaBus Terminal, North Vancouver, BC V7M 3K2, Canada"
Earles St,W 41St Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Hastings St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Steeple Dr,Lansdowne Dr,Coquitlam,49.286629,-122.8148323,"Lansdowne Dr, Coquitlam, BC, Canada"
Wall St,Dundas St,Vancouver,49.2848001,-123.0538708,"Dundas St, Vancouver, BC, Canada"
Vtc Yard,Nan,Vancouver,49.23284899999999,-123.0330096,"3387 Kingsway, Vancouver, BC V5R 5K6, Canada"
Newton Exch,137 St,Surrey,49.134903,-122.842807,"137 St, Surrey, BC V3W, Canada"
E 45Th Ave,Victoria Dr,Vancouver,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Cardero St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Nan,Dunbar Loop,Vancouver,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
Cambie St,E Broadway,Vancouver,49.26300879999999,-123.104889,"W Broadway & E Broadway, Vancouver, BC V5Y 1P1, Canada"
Edge St,Dewdney Trunk Rd,Maple Ridge,49.2200324,-122.458975,"Dewdney Trunk Rd, British Columbia, Canada"
Mundy St,Austin Ave,Coquitlam,49.2489417,-122.8544444,"Austin Ave, Coquitlam, BC, Canada"
Linton St,Como Lake Ave,Coquitlam,49.2634846,-122.8559887,"Como Lake Ave, Coquitlam, BC V3J, Canada"
Yew St,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
W 72Nd Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Hastings St,Holdom Ave,Burnaby,49.2733543,-122.9811182,"Holdom Ave, Burnaby, BC V5B, Canada"
Railway Ave,Williams Rd,Richmond,49.1408552,-123.1246592,"Williams Rd, Richmond, BC, Canada"
W 52Nd Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Nan,Htc,Nan,,,
Sperling Ave,Hastings St,Burnaby,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Dunsmuir St,Burrard St,Vancouver,49.2759934,-123.1337743,"Burrard St, Vancouver, BC, Canada"
Burnaby Mountain Pky,Gaglardi Way,Burnaby,49.2589203,-122.9109656,"Gaglardi Way, Burnaby, BC, Canada"
W Pender St,Thurlow St,Vancouver,49.2832087,-123.1269759,"Thurlow St, Vancouver, BC, Canada"
Nan,Hwy 99,Delta,49.0952129,-123.0264619,"BC-99, Delta, BC, Canada"
Tyne St,E 49Th Ave,Vancouver,49.2257397,-123.105945,"W 49th Ave & E 49th Ave, Vancouver, BC V5Y 2Z6, Canada"
Jervis St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Fourth Ave,Sixth St,New Westminster,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
W 15Th Ave,Jones Ave,Vancouver,49.3285162,-123.0815172,"Jones Ave, British Columbia, Canada"
Nan,Sfu Exchange,Burnaby,49.2786311,-122.9129661,"SFU Transit Exchange, Burnaby, BC V5A, Canada"
Buswell St,Saba Rd,Richmond,49.1688525,-123.133685,"Saba Rd, Richmond, BC V6Y, Canada"
Agnes St,Sixth St,New Westminster,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
Hwy 17,Ladner Trunk Rd,Delta,49.0899639,-122.9900302,"Ladner Trunk Rd, Delta, BC, Canada"
Waterloo St,E 4Th Ave,Vancouver,49.2673889,-123.104712,"E 4th Ave & W 4th Ave, Vancouver, BC V5Y 1G2, Canada"
Nan,Nan,Nan,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
203A St,Logan Ave,Langley,49.1084592,-122.6600278,"Logan Ave, Langley City, BC V3A, Canada"
Buchanan St,Willingdon Ave,Burnaby,49.2504925,-123.00441,"Willingdon Ave, Burnaby, BC, Canada"
Kingsway,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Beta Ave,Canada Way,Burnaby,49.2421346,-122.9692543,"Canada Way, Burnaby, BC, Canada"
Thurlow St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Gilley Ave,Kingsway,Burnaby,49.2326697,-123.0185233,"Kingsway, British Columbia, Canada"
Mackay Ave,Marine Dr,North Vancouver,49.3221225,-123.0971961,"Marine Dr, North Vancouver, BC, Canada"
Matheson Cres,Se Marine Dr,Burnaby,49.2081793,-123.0232655,"Marine Dr & SE Marine Dr, Burnaby, BC V5J 3A1, Canada"
Nan,Surrey Central Loop,Surrey,49.1893835,-122.8478254,"10309-10321 City Pkwy, Surrey, BC V3T 4Y8, Canada"
Westminster Hwy,No. 3 Rd,Richmond,49.1532687,-123.1366635,"Number 3 Rd, Richmond, BC, Canada"
Bay 2,Joyce Stn,Vancouver,49.2370957,-123.0328071,"5258 Joyce St, Vancouver, BC V5R 6C9, Canada"
W 18 Ave,Dunbar St,Vancouver,49.249012,-123.185207,"Dunbar St, Vancouver, BC, Canada"
Dunsmuir St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Hawks Ave,W Hastings St,Vancouver,49.2868523,-123.1162812,"W Hastings St, Vancouver, BC, Canada"
Windsor St,Lonsdale Ave,North Vancouver,49.32312289999999,-123.0723529,"Lonsdale Ave, North Vancouver, BC, Canada"
Ladner Trunk Rd,80 Ave,Delta,49.1483885,-122.8790635,"80 Ave, British Columbia, Canada"
E Blvd,E 41 Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Gatineau Pl,Austin Rd,Burnaby,49.2490076,-122.8952326,"Austin Rd, Burnaby, BC, Canada"
Dunsmuir St,Howes St,Vancouver,49.2807469,-123.1227452,"Howe St, Vancouver, BC, Canada"
Nan,Nan,Surrey,49.1913466,-122.8490125,"Surrey, BC, Canada"
Lonsdale Quay,Carrie Cates Crt,North Vancouver,49.31109499999999,-123.0816482,"Carrie Cates Ct, North Vancouver, BC V7M, Canada"
Macdonald St,E 41St Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Kerr St,E 49 Ave,Vancouver,49.2257397,-123.105945,"W 49th Ave & E 49th Ave, Vancouver, BC V5Y 2Z6, Canada"
Raymur St,Venables St,Vancouver,49.2765698,-123.0572819,"Venables St, Vancouver, BC, Canada"
Nan,Granville St Bridge,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
E Blvd,E 41 Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
W Georgia St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Nanaimo Stn,Nanaimo St,Vancouver,49.2454543,-123.0566531,"Nanaimo St, Vancouver, BC, Canada"
Lonsdale Quay Loop,Nan,North Vancouver,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
Birch St,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
E 41 Ave,Victoria Dr,Vancouver,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Se Marine Dr,Knight St,Vancouver,49.2276691,-123.0772497,"Knight St, Vancouver, BC, Canada"
Lamey'S Mill Rd,Granville St Bridge,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Cambie St,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Nan,Gatineau Pl,Burnaby,49.2480573,-122.8942777,"Gatineau Pl, Burnaby, BC V3J, Canada"
W 33Rd Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Nan,Sfu Exchange,Burnaby,49.2786311,-122.9129661,"SFU Transit Exchange, Burnaby, BC V5A, Canada"
W Georgia St,Cambie St,Vancouver,49.24022230000001,-123.1178489,"Cambie St, Vancouver, BC, Canada"
Cambie St,Sw Marine Dr,Vancouver,49.2301474,-123.1801473,"SW Marine Dr, British Columbia, Canada"
Nan,South Surrey Park And Ride,Surrey,49.0721037,-122.8218102,"King George Blvd, Surrey, BC V3T 5H9, Canada"
54 St,4 Ave,Delta,49.0100793,-123.0789607,"4 Ave, Delta, BC, Canada"
Minto Cres,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Howe St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Southridge Dr,Marine Dr,Burnaby,49.2066776,-122.9870011,"Marine Dr, Burnaby, BC, Canada"
Slocan St,Clarendon St,Vancouver,49.2317827,-123.0552171,"Clarendon St, Vancouver, BC, Canada"
W Georgia St,Burrard St,Vancouver,49.2759934,-123.1337743,"Burrard St, Vancouver, BC, Canada"
Nan,Stc Depot,Surrey,49.1363889,-122.8872222,"7350 120 St, Surrey, BC V3W 3M9, Canada"
Thunderbird Blvd,Nan,Ubc,49.26060520000001,-123.2459938,"Vancouver, BC V6T 1Z4, Canada"
E 49 Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Buswell St,Anderson Rd,Richmond,49.16348199999999,-123.133733,"Anderson Rd, Richmond, BC V6Y, Canada"
Prince Edward Ave,E Broadway St,Vancouver,49.261889,-123.055558,"EB E Broadway at Nanaimo St, Vancouver, BC V5M 4T9, Canada"
Carnarvon St,W 41St Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Track 8,Rtc Track 7,Richmond,49.163231,-123.1450486,"Richmond FC, 7191 Granville Ave, Richmond, BC V6Y 4G2, Canada"
Thurlow St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Fifth Ave,Sixth St,New Westminster,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
Main St,E Hastings St,Vancouver,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
Nan,Nan,Nan,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
Kensington Ave,Hastings St,Burnaby,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Devonshire Cres,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
W 7 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
96 Ave,132 St,Surrey,49.15866320000001,-122.8569313,"132 St, Surrey, BC, Canada"
Pinetree Way,Lougheed Hwy,Coquitlam,49.2600981,-122.7588574,"Lougheed Hwy, Coquitlam, BC, Canada"
Mackenzie St,W 41St Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
108 Ave,160 St,Surrey,49.1308258,-122.7786444,"160 St, British Columbia, Canada"
Tenth Ave,Twelfth St,New Westminster,49.2073926,-122.9302364,"12th St, New Westminster, BC V3M, Canada"
Thurlow St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Woodland Dr,E Broadway St,Vancouver,49.261889,-123.055558,"EB E Broadway at Nanaimo St, Vancouver, BC V5M 4T9, Canada"
Nan,Hamilton Track,New Westminster,49.2072349,-122.9378389,"Hamilton St, New Westminster, BC V3M, Canada"
Hamilton St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Riverside Dr,Fremont St,Port Coquitlam,49.2704275,-122.7337744,"Fremont St, Port Coquitlam, BC V3B, Canada"
W 17 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Bernatchey St,Brunette Ave,Coquitlam,49.237386,-122.8686854,"Brunette Ave, British Columbia, Canada"
Saba Rd,Buswell St,Richmond,49.1665102,-123.133704,"Buswell St, Richmond, BC, Canada"
Nan,Coquitlam Bus Loop,Coquitlam,49.2752146,-122.7988527,"Coquitlam Central Stn at Bay 9, Coquitlam, BC V3B, Canada"
Trimble St,W 10 Ave,Vancouver,49.2629744,-123.1600625,"W 10th Ave, Vancouver, BC, Canada"
Nan,Dunbar Loop,Vancouver,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
Parker St,Commerical Dr,Vancouver,49.2691439,-123.0696654,"Commercial Dr, Vancouver, BC, Canada"
Winch St,Holdom Ave,Burnaby,49.2733543,-122.9811182,"Holdom Ave, Burnaby, BC V5B, Canada"
King Edward Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Best St,Russell Ave,Whiterock,49.029252,-122.791677,"Russell Ave, White Rock, BC V4B, Canada"
Nan,22Nd Ave Stn,Burnaby,49.2502815,-123.0643484,"E 22nd Ave, Vancouver, BC, Canada"
Seaport Ave,Seacote Rd,Richmond,49.1412518,-123.0979427,"Seacote Rd, Richmond, BC V7A, Canada"
Bay 2,Newton Exchange,Surrey,49.133306,-122.841764,"Newton Exchange @ Bay 1, Surrey, BC V3W 2P4, Canada"
Nan,12719 114 Ave,Surrey,49.21002310000001,-122.8695745,"12719 114 Ave, Surrey, BC V3V 3P2, Canada"
Hwy 1,Mcgill St,Vancouver,49.288715,-123.0466946,"McGill St, Vancouver, BC, Canada"
E Pender St,Main St,Vancouver,49.2457108,-123.101237,"Main St, Vancouver, BC, Canada"
University Dr,108 Ave,Surrey,49.1987331,-122.8124861,"108 Ave, Surrey, BC, Canada"
W 33 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Hamilton St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Pemberton Ave,E 22 St,North Vancouver,49.3292342,-123.0668011,"22nd St E, North Vancouver, BC V7L, Canada"
W 48 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Imperial St,Royal Oak Ave,Burnaby,49.231338,-122.9889445,"Royal Oak Ave, Burnaby, BC, Canada"
W 45 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Burke St,Smith Ave,Burnaby,49.246111,-123.0198508,"Smith Ave, Burnaby, BC, Canada"
W 33 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Renfrew St,E Hastings St,Vancouver,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
Main St,E Hastings St,Vancouver,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
E 27 Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Burrard St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
103 Ave,128 St,Surrey,49.1574493,-122.8680047,"128 St, Surrey, BC, Canada"
No. 5 Rd,Steveston Hwy,Richmond,49.1335088,-123.1283896,"Steveston Hwy, Richmond, BC, Canada"
E 43 Ave,Victoria Dr,Vancouver,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Nan,Como Lake,Coquitlam,49.25993159999999,-122.858226,"Como Lake, Coquitlam, BC V3J, Canada"
Seymour St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Kincaid St,Boundary Rd,Burnaby,49.2431178,-123.0235706,"Boundary Rd, British Columbia, Canada"
Burrard St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Nan,22Nd Street Stn,New Westminster,49.1999652,-122.949048,"22nd Street, 649 22nd St, New Westminster, BC V3M, Canada"
W Hastings St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Brunette Ave,Braid St,New Westminster,49.23156609999999,-122.886261,"Braid St, New Westminster, BC, Canada"
Boundary Rd,Hastings St,Burnaby,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Nan,Carvolth Exchange,Langley,49.16038289999999,-122.6603426,"Carvolth Exchange, Langley Twp, BC V2Y 2C2, Canada"
Marine Dr,Cambie St,Vancouver,49.24022230000001,-123.1178489,"Cambie St, Vancouver, BC, Canada"
Kootenay St,W Hastings St,Vancouver,49.2868523,-123.1162812,"W Hastings St, Vancouver, BC, Canada"
Alma St,W Broadway St,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
National Ave,Station St,Vancouver,49.2733558,-123.098563,"Station St, Vancouver, BC V6A, Canada"
Church St,Joyce St,Vancouver,49.23710879999999,-123.0328869,"Joyce St, Vancouver, BC V5R, Canada"
Nan,Knight St Bridge,Vancouver,49.203238,-123.0775817,"Knight St Bridge, Vancouver, BC, Canada"
Nan,Kootenay Loop Bay 3-4,Burnaby,49.2814044,-123.0262357,"Kootenay Loop @ Bay 3, Vancouver, BC V5K, Canada"
Hornby St,Davie St,Vancouver,49.2803931,-123.1311967,"Davie St, Vancouver, BC, Canada"
Nan,Nanaimo Stn,Vancouver,49.2454543,-123.0566531,"Nanaimo St, Vancouver, BC, Canada"
Madison Ave,Hastings St,Burnaby,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
200 St,64 Ave,Langley,49.1189911,-122.794672,"64 Ave, Langley City, BC, Canada"
Granville St,Robson St,Vancouver,49.28600669999999,-123.1269807,"Robson St, Vancouver, BC, Canada"
Adanac St,Commercial Dr,Vancouver,49.2691439,-123.0696654,"Commercial Dr, Vancouver, BC, Canada"
Nan,Scottsdale Exchange,Surrey,49.1375979,-122.8880298,"Scottsdale Exchange Bay 3, Surrey, BC V3W, Canada"
Clark Dr,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Fraser St,Marine Dr,Vancouver,49.224264,-123.164132,"Marine Crescent & SW Marine Dr, Vancouver, BC V6P 6C2, Canada"
Nan,Vtc Depot,Vancouver,49.2019705,-123.1372064,"9149 Hudson St, Vancouver, BC V6P 4N5, Canada"
Hwy 1,Fern St,North Vancouver,49.3114871,-123.0289632,"Fern St, North Vancouver, BC V7J, Canada"
Edge St,Dewdney Trunk Rd,Maple Ridge,49.2200324,-122.458975,"Dewdney Trunk Rd, British Columbia, Canada"
Cumberland St,16 Ave,Burnaby,49.2261946,-122.9285023,"16th Ave, Burnaby, BC V3N, Canada"
8900 Blk,King George Blvd,Surrey,49.1076089,-122.8350549,"King George Blvd, Surrey, BC, Canada"
91A Off-Ramp,Westminster Hwy,Richmond,49.1702999,-123.0781832,"Westminster Hwy, Richmond, BC, Canada"
Boundary Rd,Kincaid St,Burnaby,49.2488019,-123.0170309,"Kincaid St, Burnaby, BC, Canada"
Nan,Surrey Central Stn,Surrey,49.1896129,-122.8479484,"Surrey Central Station, 14479 106 Ave, Surrey, BC V3R 1S9, Canada"
W 41 Ave,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Langley St,Armstrong Ave,Burnaby,49.2327125,-122.9096698,"Armstrong Ave, Burnaby, BC V3N, Canada"
Bute St,Robson St,Vancouver,49.28600669999999,-123.1269807,"Robson St, Vancouver, BC, Canada"
Oak St,Marine Dr,Vancouver,49.224264,-123.164132,"Marine Crescent & SW Marine Dr, Vancouver, BC V6P 6C2, Canada"
Abbott St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
